embed_dim,num_heads,ff_dim,num_layers,dropout,lr,weight_decay,batch_size,val_f1_macro,val_acc,best_epoch
512,8,1024,2,0.3,0.0001,0.001,32,0.32639105354569936,0.36666666666666664,13
512,4,2048,2,0.3,0.0003,0.001,64,0.3260684430512017,0.3333333333333333,18
512,8,1024,4,0.1,0.0001,0.01,64,0.3258696191027018,0.3333333333333333,9
512,8,1024,2,0.1,0.0001,0.01,64,0.32563510678061763,0.35555555555555557,8
512,4,1024,4,0.3,0.0001,0.001,32,0.3254296887837261,0.36666666666666664,12
256,4,1024,2,0.1,0.0003,0.01,32,0.3252158555729984,0.35555555555555557,4
256,8,1024,4,0.3,0.0001,0.001,32,0.32514219876346123,0.37777777777777777,18
512,8,1024,4,0.3,0.0001,0.01,32,0.3251054549614248,0.34444444444444444,7
256,4,2048,4,0.3,0.0001,0.001,64,0.3250375939849624,0.35555555555555557,24
256,8,2048,2,0.3,0.0001,0.001,64,0.3249207735275847,0.34444444444444444,17
512,8,1024,2,0.3,0.0003,0.001,64,0.3240441589575293,0.35555555555555557,7
256,8,1024,4,0.3,0.0003,0.01,32,0.3237979590196339,0.34444444444444444,21
256,8,2048,2,0.3,0.001,0.001,64,0.3237654518442695,0.3111111111111111,22
512,8,1024,2,0.1,0.0001,0.01,32,0.3235458342984766,0.34444444444444444,8
256,8,2048,2,0.3,0.001,0.01,64,0.32295597484276733,0.35555555555555557,18
512,4,2048,2,0.1,0.0003,0.001,32,0.3226031186620247,0.32222222222222224,26
256,8,2048,4,0.1,0.0003,0.01,32,0.3225789687765146,0.34444444444444444,15
256,4,2048,2,0.1,0.001,0.01,64,0.32240861315706376,0.32222222222222224,25
256,4,1024,2,0.1,0.001,0.01,64,0.32221552167881523,0.3333333333333333,15
512,4,2048,2,0.3,0.0003,0.01,64,0.322195920022007,0.3333333333333333,20
512,4,2048,4,0.3,0.0001,0.001,32,0.3212230346684128,0.34444444444444444,26
256,8,2048,4,0.1,0.0003,0.001,32,0.32109007997734534,0.3111111111111111,23
256,8,1024,4,0.1,0.0003,0.001,64,0.32103511078843144,0.3333333333333333,13
256,4,2048,4,0.1,0.0001,0.01,64,0.32098672804678463,0.34444444444444444,11
512,8,2048,4,0.3,0.0003,0.001,64,0.32070224846105816,0.32222222222222224,18
512,8,1024,4,0.3,0.0001,0.01,64,0.31980339169279265,0.35555555555555557,12
512,8,1024,2,0.3,0.001,0.001,64,0.3197024755848285,0.34444444444444444,25
256,8,2048,2,0.3,0.0003,0.01,64,0.3192464678178964,0.3333333333333333,17
512,4,1024,4,0.3,0.0003,0.001,32,0.3191646357904007,0.32222222222222224,28
256,8,2048,2,0.3,0.0003,0.01,32,0.31877612671947647,0.34444444444444444,9
